"Title: Distribution of Health Care Expenditures by Service by State of Residence (in millions) | KFF"
"Timeframe: 2020"
"Location","Hospital Care","Physician and Other Professional Services","Prescription Drugs and Other Medical Nondurables","Nursing Home Care","Dental Services","Home Health Care","Medical Durables","Other Health, Residential, and Personal Care","Total"
"United States","$1270149","$926901","$434160","$196804","$142405","$123717","$54904","$208793","$3357832"
"New Jersey","$36732","$32154","$15051","$6839","$4152","$2933","$1688","$5869","$105416"
"New Mexico","$8340","$4493","$1897","$735","$855","$643","$477","$1308","$18750"
"New York","$106356","$54857","$36858","$16917","$8084","$16417","$3558","$27800","$270847"
"North Carolina","$35243","$26322","$15251","$5484","$4800","$2715","$1532","$3185","$94532"
"North Dakota","$3608","$2049","$887","$700","$427","$107","$119","$751","$8649"
"Ohio","$48893","$32862","$13338","$9092","$4369","$3955","$1847","$8165","$122521"
"Oklahoma","$15888","$9699","$5042","$2176","$1636","$1103","$436","$1616","$37595"
"Oregon","$16318","$12228","$3672","$2161","$2334","$1122","$633","$4249","$42716"
"Pennsylvania","$53682","$38275","$19728","$12201","$4922","$5441","$2156","$11922","$148327"
"Rhode Island","$4505","$3092","$1866","$1111","$387","$393","$159","$849","$12362"
"South Carolina","$17832","$12049","$7118","$2550","$2238","$1181","$906","$1868","$45742"
"South Dakota","$6241","$2082","$905","$677","$515","$110","$114","$510","$11154"
"Tennessee","$22816","$19189","$9604","$3447","$2600","$2372","$1065","$3201","$64295"
"Texas","$90130","$71643","$39672","$11295","$9982","$9608","$3389","$11092","$246812"
"Utah","$9014","$6329","$3466","$801","$1641","$751","$721","$1723","$24447"
"Vermont","$3514","$1760","$587","$493","$343","$256","$93","$903","$7951"
"Virginia","$29230","$23527","$9614","$4612","$4068","$2415","$1301","$4222","$78989"
"Washington","$26523","$22299","$6090","$3432","$4476","$1694","$1269","$5493","$71277"
"West Virginia","$10216","$5059","$3098","$1524","$661","$718","$376","$1137","$22790"
"Wisconsin","$23185","$17235","$6067","$3494","$2828","$1751","$826","$2834","$58220"
"Wyoming","$3103","$1705","$433","$310","$325","$73","$82","$367","$6399"

"Notes"
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  "
""
"All health spending is displayed in millions of dollars. Data may not sum to totals due to rounding. "
""
"Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  "
""
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416)."

"Sources"
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), August 2022."

"Definitions"
"*Hospital Care*: Covers all services provided by hospitals to patients and that are billed by the hospital. These include room and board, ancillary charges, services of resident physicians, inpatient pharmacy, hospital-based nursing home and home health care, and any other services billed by hospitals in the United States. The value of hospital services is measured by total net revenue, which equals gross patient revenues (charges) less contractual adjustments, bad debts, and charity care. It also includes government tax appropriations as well as non-patient and non-operating revenues."
""
"*Physician and Other Professional Services*: Covers services provided in establishments operated by Doctors of Medicine (M.D.) and Doctors of Osteopathy (D.O.), outpatient care centers, plus the portion of medical laboratories services that are billed independently by the laboratories. This category also includes services rendered by a doctor of medicine (M.D.) or doctor of osteopathy (D.O.) in hospitals, if the physician bills independently for those services. Clinical services provided in freestanding outpatient clinics operated by the U.S. Department of Veterans' Affairs, the U.S. Coast Guard Academy, the U.S. Department of Defense, and the U.S. Indian Health Service are also included, as well as services provided in establishments operated by health practitioners other than physicians and dentists. These professional services include those provided by private-duty nurses, chiropractors, podiatrists, optometrists, and physical, occupational and speech therapists, among others."
""
"*Prescription Drugs and Other Non-Durable Medical Products*: Covers retail sales of human-use dosage-form drugs, biological drugs, and diagnostic products that are available only by a prescription. Also includes sales of non-prescription drugs (products purchased over the counter such as analgesics and cough and allergy medications) and medical sundries (items such as surgical and medical instruments and surgical dressings, and diagnostic products such as needles and thermometers)."
""
"*Nursing Home Care*: Covers nursing and rehabilitative services provided in freestanding nursing home facilities. These services are generally provided for an extended period of time by registered or licensed practical nurses and other staff. Care received in state and local government facilities and nursing facilities operated by the U.S. Department of Veterans Affairs are also included."
""
"*Dental Services*: Covers services provided in establishments operated by a Doctor of Dental Medicine (D.M.D.) or Doctor of Dental Surgery (D.D.S.) or a Doctor of Dental Science (D.D.Sc.)."
""
"*Home Health Care*: Covers medical care provided in the home by freestanding home health agencies (HHAs). Medical equipment sales or rentals not billed through HHAs and non-medical types of home care (e.g., Meals on Wheels, chore-worker services, friendly visits, or other custodial services) are excluded."
""
"*Medical Durables*: Covers retail sales of items such as contact lenses, eyeglasses and other ophthalmic products, surgical and orthopedic products, hearing aids, wheelchairs, and medical equipment rentals."
""
"*Other Health, Residential, and Personal Care*: This category includes spending for Medicaid home and community based waivers, care provided in residential care facilities, ambulance services, school health and worksite health care. Generally these programs provide payments for services in non-traditional settings such as community centers, senior citizens centers, schools, and military field stations. The residential establishments are classified as facilities for the intellectually disabled, and mental health and substance abuse facilities. The ambulance establishments are classified as Ambulance services."
""
"*Total*: Total health care expenditures include spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence. Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total."


